City Name,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
New Norfolk,53.01,85,0,1.01,-42.7826,147.0587
Comodoro Rivadavia,64.4,42,0,10.36,-45.8667,-67.5
Kang,77.07,33,5,12.82,-23.6752,22.7876
Goma,69.39,85,100,1.5,-1.6792,29.2228
Bengkulu,77.67,87,100,4.9,-3.8004,102.2655
Kapaa,71.6,83,90,16.11,22.0752,-159.319
Port-Gentil,87.8,70,20,10.36,-0.7193,8.7815
Ambanja,87.8,86,20,6.91,-13.6833,48.45
Albany,54.0,75,100,1.01,42.6001,-73.9662
Tasiilaq,32.0,64,20,14.97,65.6145,-37.6368
Puerto Ayora,77.0,83,75,13.8,-0.7393,-90.3518
Vaini,73.4,94,90,8.05,-21.2,-175.2
Visby,50.0,52,0,8.05,57.6409,18.296
Shingū,56.05,76,0,6.06,33.7333,135.9833
Muli,84.16,69,6,4.56,2.9167,73.5667
Pevek,15.87,94,100,10.13,69.7008,170.3133
Lompoc,54.0,100,90,4.61,34.6391,-120.4579
Mabaruma,78.75,87,99,3.24,8.2,-59.7833
Matehuala,64.76,73,21,11.03,23.65,-100.65
Cape Town,66.2,52,20,24.16,-33.9258,18.4232
Kavaratti,85.35,72,30,8.95,10.5669,72.642
Omaruru,84.29,21,1,15.32,-21.4333,15.9333
Rocha,65.8,58,0,7.78,-34.4833,-54.3333
Broken Hill,60.8,41,37,8.05,-31.95,141.4333
Beringovskiy,16.41,89,75,4.9,63.05,179.3167
Chokurdakh,-0.92,93,26,5.26,70.6333,147.9167
Hithadhoo,84.07,73,23,7.43,-0.6,73.0833
Hobart,53.01,87,0,10.36,-42.8794,147.3294
Bilibino,-1.44,95,29,4.61,68.0546,166.4372
Clyde River,21.2,100,75,4.61,70.4692,-68.5914
Rikitea,78.24,75,76,18.21,-23.1203,-134.9692
Soyo,87.8,66,20,9.22,-6.1349,12.3689
Havelock,79.0,56,75,15.01,34.8791,-76.9013
Ushuaia,39.2,87,75,3.09,-54.8,-68.3
Qaanaaq,30.42,60,78,7.61,77.484,-69.3632
Yakima,57.99,51,75,4.61,46.4665,-120.6678
Henties Bay,64.0,81,1,5.99,-22.116,14.2845
Barrow,17.6,86,90,4.61,71.2906,-156.7887
Souillac,80.6,78,40,11.5,-20.5167,57.5167
Saint Paul Harbor,33.8,80,1,3.44,57.79,-152.4072
Norman Wells,21.2,79,20,2.3,65.282,-126.8329
Hermanus,66.0,55,7,9.37,-34.4187,19.2345
San Julián,64.94,51,92,5.06,21.0167,-102.1667
Kangasala,45.0,39,0,11.5,61.4638,24.076
Tabou,86.05,64,100,7.05,4.423,-7.3528
Khani,69.8,64,75,21.85,41.9563,42.9566
Jalu,104.49,6,0,9.64,29.0331,21.5482
Yellowknife,28.0,86,90,14.97,62.456,-114.3525
Laas,71.6,71,40,14.97,46.6166,10.7002
Punta Arenas,41.0,93,90,10.36,-53.15,-70.9167
Kaitangata,45.0,71,55,4.0,-46.2817,169.8464
Mar del Plata,64.0,77,0,18.41,-38.0023,-57.5575
Itaobim,77.94,56,97,8.55,-16.5667,-41.8333
Esperance,51.8,93,75,4.61,-33.8667,121.9
Ilulissat,37.4,52,20,2.3,69.2167,-51.1
Glendive,53.6,54,1,8.05,47.1053,-104.7125
Dongsheng,47.48,28,18,9.62,39.8161,109.9776
Talnakh,24.51,90,28,3.4,69.4865,88.3972
Virbalis,53.15,66,49,15.41,54.6267,22.8169
Manokwari,79.27,79,100,5.35,-0.8667,134.0833
Saskylakh,33.51,88,100,9.48,71.9167,114.0833
Vysokogornyy,30.61,98,100,3.11,50.1167,139.15
Bluff,42.01,91,33,4.0,-46.6,168.3333
Half Moon Bay,52.0,87,90,8.05,37.4636,-122.4286
Ribeira Grande,62.6,63,75,6.91,38.5167,-28.7
Benguela,85.48,66,81,10.87,-12.5763,13.4055
Hasaki,59.0,77,20,9.22,35.7333,140.8333
Hong Kong,79.0,78,70,4.79,22.2855,114.1577
Saldanha,68.0,45,0,19.57,-33.0117,17.9442
East London,66.2,63,20,6.91,-33.0153,27.9116
Buta,91.4,39,75,3.44,2.7858,24.73
Longyearbyen,23.0,63,75,4.61,78.2186,15.6401
Xiongzhou,68.9,71,57,3.4,25.1167,114.3
Nanortalik,40.73,67,6,8.3,60.1432,-45.2371
Awjilah,104.32,6,0,9.64,29.1081,21.2869
Tuktoyaktuk,10.4,79,1,10.36,69.4541,-133.0374
Nova Granada,71.6,49,0,10.36,-20.5339,-49.3142
Araouane,93.16,21,100,24.23,18.9048,-3.5265
São João da Barra,78.8,61,75,6.91,-21.6403,-41.0511
Mezhdurechensk,43.02,87,100,3.06,53.6942,88.0603
Saint George,66.0,27,1,5.75,37.1041,-113.5841
Nanyamba,86.0,70,40,11.5,-10.6833,39.8333
Jieshi,74.28,78,71,4.59,22.8134,115.8257
Ust'-Shonosha,37.02,97,100,3.8,61.1531,41.343
Vardø,28.4,69,20,23.02,70.3705,31.1107
Xingyi,62.74,76,13,4.38,24.1877,102.817
Faanui,78.85,80,92,6.91,-16.4833,-151.75
Saint-Philippe,80.6,74,0,14.2,-21.3585,55.7679
Provideniya,26.2,76,98,1.99,64.3833,-173.3
Ürümqi,82.4,11,0,2.24,43.801,87.6005
Airai,59.63,92,100,2.08,-8.9266,125.4092
Nishihara,71.6,78,75,8.05,26.1842,127.7558
Mut,89.31,15,43,20.51,36.6439,33.4389
Atuona,78.48,71,20,4.25,-9.8,-139.0333
Manta,77.0,83,75,4.65,-0.95,-80.7333
Bredasdorp,64.4,48,40,11.5,-34.5322,20.0403
Sarlat-la-Canéda,60.01,58,99,3.0,44.889,1.2166
Butaritari,83.03,73,100,9.08,3.0707,172.7902
Port Alfred,66.67,61,75,16.15,-33.5906,26.891
Kenora,32.0,59,1,6.91,49.8167,-94.4337
Saint-Pierre,80.6,74,20,2.3,-21.3393,55.4781
Busselton,52.0,95,90,4.47,-33.65,115.3333
Muroto-misakicho,63.66,65,3,9.06,33.2833,134.15
El Higo,80.35,66,98,7.18,21.7667,-98.4667
Pierre,53.01,53,1,11.5,44.3683,-100.351
Grindavik,41.0,70,0,17.27,63.8424,-22.4338
Mandalgovi,41.02,51,63,6.49,45.7625,106.2708
Reda,46.0,81,75,11.5,54.6053,18.3472
Jamestown,44.6,81,90,14.97,42.097,-79.2353
Vuktyl,43.39,30,100,10.07,63.8567,57.3094
